compressor_id,composite:compression_rate,composite:decompression_rate,error_stat:average_difference,error_stat:average_error,error_stat:difference_range,error_stat:error_range,error_stat:max_error,error_stat:max_pw_rel_error,error_stat:max_rel_error,error_stat:min_error,error_stat:min_pw_rel_error,error_stat:min_rel_error,error_stat:mse,error_stat:n,error_stat:psnr,error_stat:rmse,error_stat:value_max,error_stat:value_mean,error_stat:value_min,error_stat:value_range,error_stat:value_std,external:error_code,external:return_code,external:runtime,size:bit_rate,size:compressed_size,size:compression_ratio,size:decompressed_size,size:uncompressed_size,time:begin_compress,time:begin_decompress,time:begin_get_options,time:begin_set_options,time:compress,time:decompress,time:end_compress,time:end_decompress,time:end_get_options,time:end_set_options,time:get_options,time:set_options
sz,11.856832307395104,12.700372017340303,-6.061659510325785e-10,5.485842144804172e-08,1.9999939022351893e-06,9.999980195481661e-07,9.999980195481661e-07,11.810083909739568,0.0004881724552560109,0.0,0.0,0.0,3.367234814828027e-14,17.034386422832473,4.406154057050246,1.835002505976408e-07,0.0020458592308026853,8.596873040730904e-06,0.0,0.0020458592308026853,5.258609286017951e-05,1.6094379124341003,0.0,0.05594314241890252,0.4647038099810738,14.429924007100679,4.009074203959314,18.420680753952364,18.420680753952364,0.0,0.0,0.0,0.0,6.565264970035361,5.723585101952381,0.0,0.0,0.0,0.0,0.0,0.0
zfp,12.661782140070061,13.616660919218365,8.748832838792758e-12,6.5777198539631094e-09,5.918553210217416e-07,3.268941702601278e-07,3.268941702601278e-07,11.044576388008451,0.0001596072119922617,0.0,0.0,0.0,3.356316205315691e-16,17.034386422832473,4.624656810705884,1.8320251482518283e-08,0.0020458592308026853,8.596873040730904e-06,0.0,0.0020458592308026853,5.258609286017951e-05,1.6094379124341003,0.0,0.05494606150335886,0.940855898294828,15.40102312838064,3.0673215599296473,18.420680753952364,18.420680753952364,0.0,0.0,0.0,0.0,5.762051382780177,4.812184355372417,0.0,0.0,0.0,0.0,0.0,0.0
sz,11.820817594712517,12.844734280802564,-6.154536690078215e-09,4.5936918244075726e-07,1.9999799497434235e-05,9.999949747714609e-06,9.999949747714609e-06,14.943817487041127,0.004871040609452665,0.0,0.0,0.0,2.6075507822026245e-12,17.034386422832473,4.144151253627501,1.6147899465757354e-06,0.0020458592308026853,8.596873040730904e-06,0.0,0.0020458592308026853,5.258609286017951e-05,1.6094379124341003,0.0,0.05961825677743633,0.2500831283199201,13.696630170437501,4.732891642073407,18.420680753952364,18.420680753952364,0.0,0.0,0.0,0.0,6.601230118728877,5.579729825986222,0.0,0.0,0.0,0.0,0.0,0.0
zfp,13.054706868928225,14.172186201902761,1.8849736788693997e-10,4.555723104576242e-08,4.121224867651677e-06,2.108512086016272e-06,2.108512086016272e-06,14.435372686783495,0.0010290417696081234,0.0,0.0,0.0,1.7522857445550416e-14,17.034386422832473,4.440181765679756,1.3237392162348793e-07,0.0020458592308026853,8.596873040730904e-06,0.0,0.0020458592308026853,5.258609286017951e-05,1.6094379124341003,0.0,0.05313984770809942,0.6894064326786058,14.94744962204472,3.5037767888899807,18.420680753952364,18.420680753952364,0.0,0.0,0.0,0.0,5.3706380281276624,4.2626798770413155,0.0,0.0,0.0,0.0,0.0,0.0
sz,11.9209003532744,12.952622972814426,1.3262097464481047e-07,2.4717921248757597e-06,0.00019997999761427716,9.999499780734846e-05,9.999499780734846e-05,18.38143850520521,0.04767452697097238,0.0,4.1891194743158357e-07,0.0,1.1866053387092776e-10,17.034386422832473,3.8390939375842588,1.089308226834246e-05,0.0020458592308026853,8.596873040730904e-06,0.0,0.0020458592308026853,5.258609286017951e-05,1.6094379124341003,0.0,0.051480326246002024,0.08253304420981615,12.501942357593457,5.921427078021387,18.420680753952364,18.420680753952364,0.0,0.0,0.0,0.0,6.501289670540389,5.472270673671475,0.0,0.0,0.0,0.0,0.0,0.0
zfp,12.863855272249474,14.172186201902761,3.1502283187852002e-09,2.808413096042525e-07,3.3050229363106684e-05,1.662955762047419e-05,1.662955762047419e-05,14.518124487169638,0.008087362296285403,0.0,0.0,0.0,7.968942535980758e-13,17.034386422832473,4.222626286991336,8.926889392279778e-07,0.0020458592308026853,8.596873040730904e-06,0.0,0.0020458592308026853,5.258609286017951e-05,1.6094379124341003,0.0,0.05892239361241905,0.4260901944777583,14.322439599906238,4.1147072823725965,18.420680753952364,18.420680753952364,0.0,0.0,0.0,0.0,5.560681631015528,4.2626798770413155,0.0,0.0,0.0,0.0,0.0,0.0
sz,11.939110144654615,12.986961030395504,1.5420306795814746e-06,5.6906034449209455e-06,0.001997896217701323,0.0009994502556527089,0.0009994502556527089,18.477580940322074,0.3976129449647854,0.0,5.612878462752478e-07,0.0,1.2037901079574598e-09,17.034386422832473,3.595142616084127,3.4695076649226414e-05,0.0020458592308026853,8.596873040730904e-06,0.0,0.0020458592308026853,5.258609286017951e-05,1.6094379124341003,0.0,0.054784602522381556,0.009358631080904012,10.288205587499503,8.132802975998715,18.420680753952364,18.420680753952364,0.0,0.0,0.0,0.0,6.483107351457199,5.438079308923196,0.0,0.0,0.0,0.0,0.0,0.0
zfp,13.279018897448244,14.707109087247973,8.800374008285115e-08,2.170513312934869e-06,0.0004988818984982113,0.00025197296496598553,0.00025197296496598553,16.309882987346946,0.11604995640422823,0.0,2.487845114392583e-07,0.0,7.600863544768774e-11,17.034386422832473,3.879866939889211,8.718255145974246e-06,0.0020458592308026853,8.596873040730904e-06,0.0,0.0020458592308026853,5.258609286017951e-05,1.6094379124341003,0.0,0.0576615104878268,0.13772132259569358,13.042074806175492,5.3832117320079425,18.420680753952364,18.420680753952364,0.0,0.0,0.0,0.0,5.147494476813453,3.7376696182833684,0.0,0.0,0.0,0.0,0.0,0.0
sz,13.471922263573203,14.636491550034007,8.596873040730904e-06,8.596873040730904e-06,0.0020458592308026853,0.0020458592308026853,0.0020458592308026853,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.0,2.8393494401747416e-09,17.034386422832473,3.4871980920555408,5.328412667304546e-05,0.0020458592308026853,8.596873040730904e-06,0.0,0.0020458592308026853,5.258609286017951e-05,1.6094379124341003,0.0,0.05763415104794456,1.4079900877730428e-05,3.8066624897703196,14.636491550034007,18.420680753952364,18.420680753952364,0.0,0.0,0.0,0.0,4.955827057601261,3.8066624897703196,0.0,0.0,0.0,0.0,0.0,0.0
zfp,13.35177813173087,14.954945161152589,8.397221413118419e-07,5.843731345995215e-06,0.0022807284001645513,0.0011416335033852085,0.0011416335033852085,18.677006606142083,0.44325481959197793,0.0,5.960466253896608e-07,0.0,8.619857986376305e-10,17.034386422832473,3.6341962208359964,2.9359163682512414e-05,0.0020458592308026853,8.596873040730904e-06,0.0,0.0020458592308026853,5.258609286017951e-05,1.6094379124341003,0.0,0.054512384801865106,0.0439969809124609,11.853396837235216,6.568695634160418,18.420680753952364,18.420680753952364,0.0,0.0,0.0,0.0,5.075173815233827,3.4965075614664802,0.0,0.0,0.0,0.0,0.0,0.0
sz,13.471922263573203,14.659481058258711,8.596873040730904e-06,8.596873040730904e-06,0.0020458592308026853,0.0020458592308026853,0.0020458592308026853,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.0,2.8393494401747416e-09,17.034386422832473,3.4871980920555408,5.328412667304546e-05,0.0020458592308026853,8.596873040730904e-06,0.0,0.0020458592308026853,5.258609286017951e-05,1.6094379124341003,0.0,0.05757493624911155,1.4079900877730428e-05,3.8066624897703196,14.636491550034007,18.420680753952364,18.420680753952364,0.0,0.0,0.0,0.0,4.955827057601261,3.784189633918261,0.0,0.0,0.0,0.0,0.0,0.0
zfp,13.39024435255876,15.124844147948,5.329395792901277e-06,8.867976043107377e-06,0.00304811550866892,0.0020458592308026853,0.0020458592308026853,13.107403021521396,0.6931471805599453,0.0,2.2053961753721297e-05,0.0,3.1032262018221166e-09,17.034386422832473,3.475323147495796,5.570505672968545e-05,0.0020458592308026853,8.596873040730904e-06,0.0,0.0020458592308026853,5.258609286017951e-05,1.6094379124341003,0.0,0.057654770523475105,0.022205385418364424,11.158661897040325,7.262734532258834,18.420680753952364,18.420680753952364,0.0,0.0,0.0,0.0,5.0369526024136295,3.332204510175204,0.0,0.0,0.0,0.0,0.0,0.0
